word,arete,chimney,crack,slab,overhang
angl,,,,0.06712444881214537,
aret,0.6236132246699263,,,,
athlet,,,,,0.05618831255609601
back,0.1447664468761855,,,,
balanc,0.10674161240108153,,,0.27192937090484487,
barn,0.17223652951619509,,,,
beyond,,,,,0.04489834086515266
blank,,,,0.1397870541188534,
bodi,,0.07151544120534953,0.09610782613234835,,
bridg,,0.08999223281315476,,,
cam,,,0.07002738153229705,,
cave,,,,,0.35023980808021193
chees,,,,0.06129417390326944,
chimney,,0.7715415186158442,0.07406110671969804,,
commit,,,,0.03916513240134173,
control,0.15755586325798981,,,,
core,,,,,0.0519388414509639
corner,0.2760081137911434,,,,
crack,,0.061282472608012874,0.49413596194921355,,
cut,,,,,0.07385178777046397
degre,,,,0.10076875986148331,0.0443003707320857
dihedr,,0.05199042670423298,,,
door,0.15305495765132432,,,,
dynam,,,,,0.134377117754898
dyno,,,,,0.03921020391178322
edg,0.23460851375075592,,,0.028460782256415594,
empti,,,,,0.05613475936265712
entir,,,0.18242207201017865,,
expos,,,,,0.035686526792805096
exposur,,,,,0.11269942381917479
featur,,,,0.03145588827088003,
feet,,,,,0.019817284327686358
finger,,,0.39183970903415477,,
fist,,,0.09406582261243235,,
fit,,0.22319223994720705,0.09998083690925104,,
flag,,,,,0.05513719460083066
foot,,,0.07134207658081076,0.03281790911324847,
footwork,,,0.10240924067762698,,0.0828410787835819
friction,,0.0712693547336319,,0.17623286898263454,
hand,,,0.2004336701450117,,
hang,,,,,0.03313053209522375
hard,,,,,0.023244727792621055
heel,0.11613533335730664,,,,0.03716209014991923
heelhook,0.1686688402667272,,,,0.10794452413874417
heelto,,0.10671538747760183,,,
hook,0.11060298150347285,,,,0.07078359101680423
horizont,,,,,0.14965799576345534
insid,,0.07360981037317588,0.39568958746498684,,
intimid,,,,,0.04268717474505802
jam,,,0.292742895893278,,
join,0.11850831506434682,,,,
jump,,,,,0.040175402566214845
kneebar,,,,,0.048329364675985254
larg,,,0.059724220238210717,,
lay,0.2849704894022867,,,,
layback,0.21727568277741516,,0.0859488925630873,,
less,,,,0.03607530479863897,
lie,0.1294666995540037,,,,
lieback,,,0.09066701635059278,,
lock,,,0.09437894127565133,,
lowangl,,,,0.3152464318703604,
movement,,,,,0.03228341239344441
muscl,,,,,0.10786483713925922
nohand,,,,,0.10056190263832032
offfing,,,0.1441027304530431,,
offwidth,,0.132732311702229,0.08918782937095453,,
oppos,,0.08487505780195882,,,
opposit,,0.16987910960934968,,,
overhang,,,,,0.6787070577801178
overhung,,,,,0.21194457339485204
past,,,,,0.047370984187623866
placement,,,,0.035858571593806815,
plate,0.14055403616914747,,,,
point,0.09306924609431873,,,,
precis,,,,0.058682915080972564,
pressur,,0.1011425590456206,,0.06252562347265021,
pump,,,,,0.2180042683085397
push,,0.07793932443370621,,,
ramp,,,,0.1886967339440204,
rest,,,,,0.10499608350594117
ridg,0.2291906101390931,,,,
rippl,,,,0.06440860794358914,
roof,,,,,0.3497182518257578
round,0.1220223914017449,,,,
rout,,,,0.016012033252861657,
sever,,,,,0.06278437134638061
shake,,,,,0.04454514921371404
sharp,0.10428841183826973,,,,
side,0.06446294571250495,,,,
slab,,,,0.6568140278499865,
slide,,,,0.053036642252147874,
slope,,,,,0.03219952683631606
sloper,0.09788000211380819,,,,
small,,0.03787807868197816,,0.02341596364462693,
smallest,,,,0.06192384130242728,
smear,,,,0.4328989309725512,
smooth,,,,0.0909262237244309,
space,,,,,0.037584272443263296
squeez,,0.35348979854248613,,,
stack,,,0.10663003617759484,,
static,,,,0.16383393991123762,
steep,,,,,0.16835390361584737
stem,,0.17268800124741987,,,
step,,,,0.03169605057705652,
strike,0.14325009473264105,,,,
super,,,,,0.029733527845063366
technic,,,,0.17345142308853445,
techniqu,0.12352575484030266,0.14544129671908032,,0.08991079365442424,0.039526947609380074
thumb,,,0.24197717577072106,,
tight,,0.07596007988545135,,,
tini,,,,0.04293289522495204,
toe,,,,,0.04000408585859429
undercut,,,,,0.10653500265989532
vertic,,,,0.03417980063618087,0.06010505008945151
wall,,0.04062927555816608,,,
wide,,0.16915499760750222,0.2273232021711075,,
wider,,0.17311356484032295,0.23264302240758936,,
